web-scraper-order,web-scraper-start-url,authors,title,conference,citations,year
"1665549320-13516","https://scholar.google.com/citations?user=5v0elikAAAAJ&hl=en&oi=ao","J Zhao, M Glueck, A Khan","Node-centric analysis of dynamic networks","US Patent US10142198B2, 2018","","2018"
"1665549320-13517","https://scholar.google.com/citations?user=5v0elikAAAAJ&hl=en&oi=ao","J Zhao, M Glueck, A Khan","Node-centric analysis of dynamic networks","US Patent 10142198B2, 2018","","2018"
"1665549320-13518","https://scholar.google.com/citations?user=5v0elikAAAAJ&hl=en&oi=ao","J Zhao","A Particle Filter Based Approach of Visualizing Time-varying Volume","IEEE Symposium on Large-Scale Data Analysis and Visualization, 2012","","2012"
"1665549335-13519","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Ruiz, Y Li, E Lank","User-defined motion gestures for mobile interaction","Proceedings of the SIGCHI conference on human factors in computing systems …, 2011","505","2011"
"1665549335-13520","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Saund, E Lank","Stylus input and editing without prior selection of mode","Proceedings of the 16th annual ACM symposium on User interface software and …, 2003","127","2003"
"1665549335-13521","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, YCN Cheng, J Ruiz","Endpoint prediction using motion kinematics","Proceedings of the SIGCHI conference on Human Factors in Computing Systems …, 2007","104","2007"
"1665549335-13522","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","JL Dupree, R Devries, DM Berry, E Lank","Privacy personas: Clustering users via attitudes and behaviors toward security practices","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems …, 2016","89","2016"
"1665549335-13523","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","C Szentgyorgyi, M Terry, E Lank","Renegade gaming: practices surrounding social use of the Nintendo DS handheld gaming system","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems …, 2008","76","2008"
"1665549335-13524","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, JS Thorley, SJS Chen","An interactive system for recognizing hand drawn UML diagrams","Proceedings of the 2000 conference of the Centre for Advanced Studies on …, 2000","72","2000"
"1665549335-13525","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","M Negulescu, J Ruiz, Y Li, E Lank","Tap, swipe, or move: attentional demands for distracted smartphone input","Proceedings of the International Working Conference on Advanced Visual …, 2012","67","2012"
"1665549335-13526","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Atwater, C Bocovich, U Hengartner, E Lank, I Goldberg","Leading Johnny to water: Designing for usability and trust","Eleventh Symposium On Usable Privacy and Security (SOUPS 2015), 69-88, 2015","59*","2015"
"1665549335-13527","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","S MacLean, G Labahn, E Lank, M Marzouk, D Tausky","Grammar-based techniques for creating ground-truthed sketch corpora","International Journal on Document Analysis and Recognition (IJDAR) 14 (1), 65-74, 2011","59","2011"
"1665549335-13528","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","G Labahn, E Lank, S MacLean, M Marzouk, D Tausky","Mathbrush: A system for doing math on pen-based devices","2008 The Eighth IAPR International Workshop on Document Analysis Systems …, 2008","57","2008"
"1665549335-13529","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Saund, J Mahoney, D Fleet, D Larner, E Lank","Perceptual organization as a foundation for intelligent sketch editing","AAAI Spring Symposium on Sketch Understanding, 118-125, 2002","55","2002"
"1665549335-13530","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","A Azad, J Ruiz, D Vogel, M Hancock, E Lank","Territoriality and behaviour on and around large vertical publicly-shared displays","Proceedings of the Designing Interactive Systems Conference, 468-477, 2012","53","2012"
"1665549335-13531","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Saund, E Lank","Method for gestural interpretation in a system for selecting and arranging visible material in document images","US Patent 7,036,077, 2006","48","2006"
"1665549335-13532","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, J Thorley, S Chen, D Blostein","On-line recognition of UML diagrams","Proceedings of Sixth International Conference on Document Analysis and …, 2001","48","2001"
"1665549335-13533","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, E Saund","Sloppy selection: Providing an accurate interpretation of imprecise selection gestures","Computers & Graphics 29 (4), 490-500, 2005","44","2005"
"1665549335-13534","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, S Phan","Focus+ Context sketching on a pocket PC","CHI'04 extended abstracts on Human factors in computing systems, 1275-1278, 2004","42","2004"
"1665549335-13535","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","D Blostein, E Lank, R Zanibbi","Treatment of diagrams in document image analysis","International Conference on Theory and Application of Diagrams, 330-344, 2000","40","2000"
"1665549335-13536","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Katsuragawa, K Pietroszek, JR Wallace, E Lank","Watchpoint: Freehand pointing with a smartwatch in a ubiquitous display environment","Proceedings of the International Working Conference on Advanced Visual …, 2016","39","2016"
"1665549335-13537","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Pietroszek, JR Wallace, E Lank","Tiltcasting: 3D interaction on large displays using a mobile device","Proceedings of the 28th Annual ACM Symposium on User Interface Software …, 2015","37","2015"
"1665549335-13538","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","AC Williams, G Mark, K Milland, E Lank, E Law","The perpetual work life of crowdworkers: How tooling practices increase fragmentation in crowdwork","Proceedings of the ACM on Human-Computer Interaction 3 (CSCW), 1-28, 2019","36","2019"
"1665549335-13539","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Pietroszek, A Kuzminykh, JR Wallace, E Lank","Smartcasting: a discount 3D interaction technique for public displays","Proceedings of the 26th Australian Computer-Human Interaction Conference on …, 2014","36","2014"
"1665549335-13540","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","S Siddhpuria, S Malacria, M Nancel, E Lank","Pointing at a distance with everyday smart devices","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems …, 2018","33","2018"
"1665549335-13541","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","Y Sun, E Lank, M Terry","Label-and-learn: Visualizing the likelihood of machine learning classifier's success during data labeling","Proceedings of the 22nd International Conference on Intelligent User …, 2017","33","2017"
"1665549335-13542","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","F Alallah, A Neshati, Y Sakamoto, K Hasan, E Lank, A Bunt, P Irani","Performer vs. observer: whose comfort level should we consider when examining the social acceptability of input modalities for head-worn display?","Proceedings of the 24th ACM Symposium on Virtual Reality Software and …, 2018","31","2018"
"1665549335-13543","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","A Kamal, Y Li, E Lank","Teaching motion gestures via recognizer feedback","Proceedings of the 19th international conference on Intelligent User …, 2014","30","2014"
"1665549335-13544","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","T Park, E Lank, P Poupart, M Terry","Is the sky pure today? AwkChecker: an assistive tool for detecting and correcting collocation errors","Proceedings of the 21st annual ACM symposium on User interface software and …, 2008","30","2008"
"1665549335-13545","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Saund, E Lank, DJ Fleet, JV Mahoney, DL Larner, TP Moran","Method and system for interpreting imprecise object selection paths","US Patent 7,093,202, 2006","29","2006"
"1665549335-13546","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","M Nancel, D Vogel, E Lank","Clutching is not (necessarily) the enemy","Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing …, 2015","27","2015"
"1665549335-13547","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","D Blostein, E Lank, A Rose, R Zanibbi","User interfaces for on-line diagram recognition","International Workshop on Graphics Recognition, 92-103, 2001","27","2001"
"1665549335-13548","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Pietroszek, L Tahai, JR Wallace, E Lank","Watchcasting: Freehand 3D interaction with off-the-shelf smartwatch","2017 IEEE Symposium on 3D User Interfaces (3DUI), 172-175, 2017","26","2017"
"1665549335-13549","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Avery, M Choi, D Vogel, E Lank","Pinch-to-zoom-plus: an enhanced pinch-to-zoom that reduces clutching and panning","Proceedings of the 27th annual ACM symposium on User interface software and …, 2014","26","2014"
"1665549335-13550","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Ruiz, A Bunt, E Lank","A model of non-preferred hand mode switching","Proceedings of Graphics Interface 2008, 49-56, 2008","26","2008"
"1665549335-13551","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","JR Wallace, N Iskander, E Lank","Creating your bubble: Personal space on and around large public displays","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems …, 2016","25","2016"
"1665549335-13552","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","G Labahn, E Lank, M Marzouk, A Bunt, S MacLean, D Tausky","MathBrush: A case study for pen-based interactive mathematics","Proceedings of the Fifth Eurographics Conference on Sketch-Based Interfaces …, 2008","24*","2008"
"1665549335-13553","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, J Ruiz, WB Cowan","Concurrent bimanual stylus interaction: a study of non-preferred hand mode manipulation.","Graphics Interface, 17-24, 2006","24","2006"
"1665549335-13554","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","A Kuzminykh, J Sun, N Govindaraju, J Avery, E Lank","Genie in the bottle: Anthropomorphized perceptions of conversational agents","Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems …, 2020","23","2020"
"1665549335-13555","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Ruiz, E Lank","Speeding pointing in tiled widgets: Understanding the effects of target expansion and misprediction","Proceedings of the 15th international conference on Intelligent user …, 2010","23","2010"
"1665549335-13556","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","EH Lank","A retargetable framework for interactive diagram recognition","Seventh International Conference on Document Analysis and Recognition, 2003 …, 2003","23","2003"
"1665549335-13557","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","JR Wallace, D Vogel, E Lank","Effect of bezel presence and width on visual search","Proceedings of The International Symposium on Pervasive Displays, 118-123, 2014","22","2014"
"1665549335-13558","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","S MacLean, D Tausky, G Labahn, E Lank, M Marzouk","Is the iPad useful for sketch input? A comparison with the Tablet PC","Proceedings of the Eighth Eurographics Symposium on Sketch-Based Interfaces …, 2011","22","2011"
"1665549335-13559","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","S Siddhpuria, K Katsuragawa, JR Wallace, E Lank","Exploring at-your-side gestural interaction for ubiquitous environments","Proceedings of the 2017 Conference on Designing Interactive Systems, 1111-1122, 2017","20","2017"
"1665549335-13560","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","V Sugarman, E Lank","Designing persuasive technology to manage peak electricity demand in ontario homes","Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing …, 2015","20","2015"
"1665549335-13561","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","M Negulescu, J Ruiz, E Lank","A recognition safety net: bi-level threshold recognition for mobile motion gestures","Proceedings of the 14th international conference on Human-computer …, 2012","20","2012"
"1665549335-13562","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","R Fung, E Lank, M Terry, C Latulipe","Kinematic templates: end-user tools for content-relative cursor manipulations","Proceedings of the 21st annual ACM symposium on User interface software and …, 2008","19","2008"
"1665549335-13563","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","RR Wehbe, ED Mekler, M Schaekermann, E Lank, LE Nacke","Testing incremental difficulty design in platformer games","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems …, 2017","18","2017"
"1665549335-13564","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","D Abramson, K Pietroszek, L Chinaei, E Lank, M Terry","Classroom response systems in higher education: Meeting user needs with NetClick","2013 IEEE Global Engineering Education Conference (EDUCON), 840-846, 2013","18","2013"
"1665549335-13565","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Pietroszek, E Lank","Clicking blindly: Using spatial correspondence to select targets in multi-device environments","Proceedings of the 14th international conference on Human-computer …, 2012","18","2012"
"1665549335-13566","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","C Swanson, R Urner, E Lank","Naïve security in a Wi-Fi world","IFIP International Conference on Trust Management, 32-47, 2010","18","2010"
"1665549335-13567","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Katsuragawa, JR Wallace, E Lank","Gestural text input using a smartwatch","Proceedings of the International Working Conference on Advanced Visual …, 2016","17","2016"
"1665549335-13568","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","B Sarrafzadeh, A Vtyurina, E Lank, O Vechtomova","Knowledge graphs versus hierarchies: An analysis of user behaviours and perspectives in information seeking","Proceedings of the 2016 ACM on Conference on Human Information Interaction …, 2016","17","2016"
"1665549335-13569","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","B Sarrafzadeh, E Lank","Improving exploratory search experience through hierarchical knowledge graphs","Proceedings of the 40th international ACM SIGIR conference on research and …, 2017","15","2017"
"1665549335-13570","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Katsuragawa, A Kamal, E Lank","Effect of motion-gesture recognizer error pattern on user workload and behavior","Proceedings of the 22nd International Conference on Intelligent User …, 2017","15","2017"
"1665549335-13571","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","M Negulescu, J Ruiz, E Lank","ZoomPointing revisited: supporting mixed-resolution gesturing on interactive surfaces","Proceedings of the ACM International Conference on Interactive Tabletops and …, 2011","14","2011"
"1665549335-13572","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","A Bunt, M Terry, E Lank","Friend or foe? Examining CAS use in mathematics research","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems …, 2009","14","2009"
"1665549335-13573","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Murakawa, I Yoon, TL Hong, E Lank","Parts, Image, and Sketch based 3D Modeling Method.","SBM, 67-74, 2006","14","2006"
"1665549335-13574","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Henderson, S Malacria, M Nancel, E Lank","Investigating the necessity of delay in marking menu invocation","Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems …, 2020","13","2020"
"1665549335-13575","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","RR Wehbe, E Lank, LE Nacke","Left them 4 dead: Perception of humans versus non-player character teammates in cooperative gameplay","Proceedings of the 2017 Conference on Designing Interactive Systems, 403-415, 2017","13","2017"
"1665549335-13576","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","M Nancel, E Lank","Modeling user performance on curved constrained paths","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems …, 2017","13","2017"
"1665549335-13577","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","D Tausky, G Labahn, E Lank, M Marzouk","Managing ambiguity in mathematical matrices","Proceedings of the 4th Eurographics workshop on Sketch-based interfaces and …, 2007","12","2007"
"1665549335-13578","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","JR Wallace, D Vogel, E Lank","The effect of interior bezel presence and width on magnitude judgement","Graphics Interface 2014, 175-182, 2020","11","2020"
"1665549335-13579","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Henderson, J Avery, L Grisoni, E Lank","Leveraging distal vibrotactile feedback for target acquisition","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems …, 2019","11","2019"
"1665549335-13580","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","Y Ren, Y Li, E Lank","InkAnchor: enhancing informal ink-based note taking on touchscreen mobile phones","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems …, 2014","11","2014"
"1665549335-13581","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Ruiz, E Lank","A study on the scalability of non-preferred hand mode manipulation","Proceedings of the 9th international conference on Multimodal interfaces …, 2007","11","2007"
"1665549335-13582","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Al-Imam, E Lank","Pocketpad: Using handhelds and digital pens to manage data in mobile contexts","First International Conference on the Digital Society (ICDS'07), 13-13, 2007","11","2007"
"1665549335-13583","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Wu, TC Graham, K Everitt, D Blostein, E Lank","Modeling Style of Work as an Aid to the Design and Evaluation of Interactive Systems","Computer-Aided Design of User Interfaces III, 217-228, 2002","11","2002"
"1665549335-13584","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","Y Chen, K Katsuragawa, E Lank","Understanding viewport-and world-based pointing with everyday smart devices in immersive augmented reality","Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems …, 2020","10","2020"
"1665549335-13585","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Katsuragawa, Q Shu, E Lank","PledgeWork: Online volunteering through crowdwork","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems …, 2019","10","2019"
"1665549335-13586","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Katsuragawa, A Kamal, QF Liu, M Negulescu, E Lank","Bi-Level thresholding: analyzing the effect of repeated errors in gesture input","ACM Transactions on Interactive Intelligent Systems (TiiS) 9 (2-3), 1-30, 2019","10","2019"
"1665549335-13587","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","D Masson, S Malacria, E Lank, G Casiez","Chameleon: Bringing Interactivity to Static Digital Documents","Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems …, 2020","9","2020"
"1665549335-13588","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Avery, D Vogel, E Lank, D Masson, H Rateau","Holding patterns: detecting handedness with a moving smartphone at pickup","Proceedings of the 31st Conference on l'Interaction Homme-Machine, 1-7, 2019","9","2019"
"1665549335-13589","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","JLW Dupree, E Lank, DM Berry","A case study of using grounded analysis as a requirement engineering method: Identifying personas that specify privacy and security tool users","Science of Computer Programming 152, 1-37, 2018","9","2018"
"1665549335-13590","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Avery, E Lank","Surveying expert-level gesture use and adoption on multi-touch tablets","Proceedings of the 2016 ACM Conference on Designing Interactive Systems, 577-581, 2016","9","2016"
"1665549335-13591","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","A Bunt, M Terry, E Lank","Challenges and opportunities for mathematics software in expert problem solving","Human–Computer Interaction 28 (3), 222-264, 2013","9","2013"
"1665549335-13592","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","M Negulescu, J Ruiz, E Lank","Exploring Usability and Learnability of Mode Inferencing in Pen/Tablet Interfaces.","SBIM, 87-94, 2010","9","2010"
"1665549335-13593","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","S MacLean, D Tausky, G Labahn, E Lank, M Marzouk","Tools for the efficient generation of hand-drawn corpora based on context-free grammars","Proceedings of the 6th Eurographics Symposium on Sketch-Based Interfaces and …, 2009","9","2009"
"1665549335-13594","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","C Szentgyorgyi, E Lank","Five-key text input using rhythmic mappings","Proceedings of the 9th international conference on Multimodal interfaces …, 2007","9","2007"
"1665549335-13595","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Al-Imam, E Lank","Biasing response in Fitts' Law tasks","CHI'06 Extended Abstracts on Human Factors in Computing Systems, 460-465, 2006","9","2006"
"1665549335-13596","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Avery, S Malacria, M Nancel, G Casiez, E Lank","Introducing transient gestures to improve pan and zoom on touch surfaces","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems …, 2018","8","2018"
"1665549335-13597","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","A Kuzminykh, E Lank","People searched by people: Context-based selectiveness in online search","Proceedings of the 2016 ACM Conference on Designing Interactive Systems, 749-760, 2016","8","2016"
"1665549335-13598","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","Z AlMeraj, CS Kaplan, P Asente, E Lank","Towards ground truth in geometric textures","Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Non-Photorealistic …, 2011","8","2011"
"1665549335-13599","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Ruiz, E Lank","Effects of target size and distance on kinematic endpoint prediction","Technical report, 2009","8","2009"
"1665549335-13600","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, K Withee, L Schile, T Parker","User centred rapid application development","International Workshop on Rapid Integration of Software Engineering …, 2005","8","2005"
"1665549335-13601","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","D Petkovic, E Lank, FA Ramirez, S Raghavendra, F Chen, C Pekiner, ...","Asynchronous multimedia annotations for web-based collaboration in biology education","Storage and Retrieval Methods and Applications for Multimedia 2005 5682, 108-113, 2005","8","2005"
"1665549335-13602","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","A Kuzminykh, E Lank","How much is too much? Understanding the information needs of parents of young children","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous …, 2019","7","2019"
"1665549335-13603","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","F Kalantari, E Lank, Y Rekik, L Grisoni, F Giraud","Determining the haptic feedback position for optimizing the targeting performance on ultrasonic tactile displays","2018 IEEE Haptics Symposium (HAPTICS), 204-209, 2018","7","2018"
"1665549335-13604","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","JR Wallace, A Weingarten, E Lank","Subtle and personal workspace requirements for visual search tasks on public displays","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems …, 2017","6","2017"
"1665549335-13605","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Saund, E Lank","Minimizing Modes for Smart Selection in Sketching/Drawing Interfaces","Sketch-based Interfaces and Modeling, 55-80, 2011","6","2011"
"1665549335-13606","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Ruiz, D Tausky, A Bunt, E Lank, R Mann","Analyzing the kinematics of bivariate pointing.","Graphics Interface, 251-258, 2008","6","2008"
"1665549335-13607","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","RR Wehbe, T Dickson, A Kuzminykh, LE Nacke, E Lank","Personal space in play: Physical and digital boundaries in large-display cooperative and competitive games","Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems …, 2020","5","2020"
"1665549335-13608","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","H Rateau, Y Rekik, E Lank, L Grisoni","Ether-Toolbars: Evaluating Off-Screen Toolbars for Mobile Interaction","23rd International Conference on Intelligent User Interfaces, 487-495, 2018","5","2018"
"1665549335-13609","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","R Stedman, M Terry, E Lank","Aiding human discovery of handwriting recognition errors","Proceedings of the 15th ACM on International conference on multimodal …, 2013","5","2013"
"1665549335-13610","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Lank, D Blostein","N-grams: a well-structured knowledge representation for recognition of graphical documents","Proceedings of the Fourth International Conference on Document Analysis and …, 1997","5","1997"
"1665549335-13611","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Henderson, S Mizobuchi, W Li, E Lank","Exploring cross-modal training via touch to learn a mid-air marking menu gesture set","Proceedings of the 21st International Conference on Human-Computer …, 2019","4","2019"
"1665549335-13612","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","D Ahlström, K Hasan, E Lank, R Liang","TiltCrown: Extending input on a smartwatch with a tiltable digital crown","Proceedings of the 17th International Conference on Mobile and Ubiquitous …, 2018","4","2018"
"1665549335-13613","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","E Friedberg, E Lank","Learning from green designers: green design as discursive practice","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems …, 2016","4","2016"
"1665549335-13614","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","B Sarrafzadeh, SK Jauhar, M Gamon, E Lank, RW White","Characterizing Stage-aware Writing Assistance for Collaborative Document Authoring","Proceedings of the ACM on Human-Computer Interaction 4 (CSCW3), 1-29, 2021","3","2021"
"1665549335-13615","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","F Kalantari, D Gueorguiev, E Lank, N Bremard, L Grisoni","Exploring fingers’ limitation of texture density perception on ultrasonic haptic displays","International Conference on Human Haptic Sensing and Touch Enabled Computer …, 2018","3","2018"
"1665549335-13616","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","J Henderson, S Siddhpuria, K Katsuragawa, E Lank","Fostering large display engagement through playful interactions","Proceedings of the 6th ACM International Symposium on Pervasive Displays, 1-8, 2017","3","2017"
"1665549335-13617","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","K Pietroszek, L Tahai, JR Wallace, E Lank","3D interaction with networked public displays using mobile and wearable devices","Adjunct Proceedings of the 2015 ACM International Joint Conference on …, 2015","3","2015"
"1665549335-13618","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","AA Ataullah, E Lank","Googling Bing: Reassessing the impact of brand on the perceived quality of two contemporary search engines","Proceedings of HCI 2010 24, 337-345, 2010","3","2010"
"1665549335-13619","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","Y Chen, J Sun, Q Xu, E Lank, P Irani, W Li","Empirical evaluation of moving target selection in virtual reality using egocentric metaphors","IFIP Conference on Human-Computer Interaction, 29-50, 2021","2","2021"
"1665549335-13620","https://scholar.google.com/citations?user=e7P8IwgAAAAJ&hl=en&oi=ao","YI Nakano, ACM Special Interest Group on Computer-Human Interaction","Proceedings of the 18th ACM International Conference on Multimodal Interaction","ACM, 2016","2","2016"
